year,month,station
1982.0,6.0,aberporth
1982.0,7.0,aberporth
1982.0,8.0,aberporth
1982.0,9.0,aberporth
1982.0,10.0,aberporth
1982.0,11.0,aberporth
1982.0,12.0,aberporth
1983.0,1.0,aberporth
1983.0,2.0,aberporth
1983.0,3.0,aberporth
1983.0,4.0,aberporth
1983.0,5.0,aberporth
1983.0,6.0,aberporth
1983.0,7.0,aberporth
1983.0,8.0,aberporth
1983.0,9.0,aberporth
1983.0,10.0,aberporth
1983.0,11.0,aberporth
1983.0,12.0,aberporth
1984.0,1.0,aberporth
1984.0,2.0,aberporth
1984.0,3.0,aberporth
1984.0,4.0,aberporth
1984.0,5.0,aberporth
1984.0,6.0,aberporth
1984.0,7.0,aberporth
1984.0,8.0,aberporth
1984.0,9.0,aberporth
1984.0,10.0,aberporth
1984.0,11.0,aberporth
1984.0,12.0,aberporth
1985.0,1.0,aberporth
1985.0,2.0,aberporth
1985.0,3.0,aberporth
1985.0,4.0,aberporth
1985.0,5.0,aberporth
1985.0,6.0,aberporth
1985.0,7.0,aberporth
1985.0,8.0,aberporth
1985.0,9.0,aberporth
1985.0,10.0,aberporth
1985.0,11.0,aberporth
1985.0,12.0,aberporth
1986.0,1.0,aberporth
1986.0,2.0,aberporth
1986.0,3.0,aberporth
1986.0,4.0,aberporth
1986.0,5.0,aberporth
1986.0,6.0,aberporth
1986.0,7.0,aberporth
1986.0,8.0,aberporth
1986.0,9.0,aberporth
1986.0,10.0,aberporth
1986.0,11.0,aberporth
1986.0,12.0,aberporth
1987.0,1.0,aberporth
1987.0,2.0,aberporth
1987.0,3.0,aberporth
1987.0,4.0,aberporth
1987.0,5.0,aberporth
1987.0,6.0,aberporth
1987.0,7.0,aberporth
1987.0,8.0,aberporth
1987.0,9.0,aberporth
1987.0,10.0,aberporth
1987.0,11.0,aberporth
1987.0,12.0,aberporth
1988.0,1.0,aberporth
1988.0,2.0,aberporth
1988.0,3.0,aberporth
1988.0,4.0,aberporth
1988.0,5.0,aberporth
1988.0,6.0,aberporth
1988.0,7.0,aberporth
1988.0,8.0,aberporth
1988.0,9.0,aberporth
1988.0,10.0,aberporth
1988.0,11.0,aberporth
1988.0,12.0,aberporth
1989.0,1.0,aberporth
1989.0,2.0,aberporth
1989.0,3.0,aberporth
1989.0,4.0,aberporth
1989.0,5.0,aberporth
1989.0,6.0,aberporth
1989.0,7.0,aberporth
1989.0,8.0,aberporth
1989.0,9.0,aberporth
1989.0,10.0,aberporth
1989.0,11.0,aberporth
1989.0,12.0,aberporth
1990.0,1.0,aberporth
1990.0,2.0,aberporth
1990.0,3.0,aberporth
1990.0,4.0,aberporth
1990.0,5.0,aberporth
1990.0,6.0,aberporth
1990.0,7.0,aberporth
1990.0,8.0,aberporth
1990.0,9.0,aberporth
1990.0,10.0,aberporth
1990.0,11.0,aberporth
1990.0,12.0,aberporth
1991.0,1.0,aberporth
1991.0,2.0,aberporth
1991.0,3.0,aberporth
1991.0,4.0,aberporth
1991.0,5.0,aberporth
1991.0,6.0,aberporth
1991.0,7.0,aberporth
1991.0,8.0,aberporth
1991.0,9.0,aberporth
1991.0,10.0,aberporth
1991.0,11.0,aberporth
1991.0,12.0,aberporth
1992.0,1.0,aberporth
1992.0,2.0,aberporth
1992.0,3.0,aberporth
1992.0,4.0,aberporth
1992.0,5.0,aberporth
1992.0,6.0,aberporth
1992.0,7.0,aberporth
1992.0,8.0,aberporth
1992.0,9.0,aberporth
1992.0,10.0,aberporth
1992.0,11.0,aberporth
1992.0,12.0,aberporth
1993.0,1.0,aberporth
1993.0,2.0,aberporth
1993.0,3.0,aberporth
1993.0,4.0,aberporth
1993.0,5.0,aberporth
1993.0,6.0,aberporth
1993.0,7.0,aberporth
1993.0,8.0,aberporth
1993.0,9.0,aberporth
1993.0,10.0,aberporth
1993.0,11.0,aberporth
1993.0,12.0,aberporth
1994.0,1.0,aberporth
1994.0,2.0,aberporth
1994.0,3.0,aberporth
1994.0,4.0,aberporth
1994.0,5.0,aberporth
1994.0,6.0,aberporth
1994.0,7.0,aberporth
1994.0,8.0,aberporth
1994.0,9.0,aberporth
1994.0,10.0,aberporth
1994.0,11.0,aberporth
1994.0,12.0,aberporth
1995.0,1.0,aberporth
1995.0,2.0,aberporth
1995.0,3.0,aberporth
1995.0,4.0,aberporth
1995.0,5.0,aberporth
1995.0,6.0,aberporth
1995.0,7.0,aberporth
1995.0,8.0,aberporth
1995.0,9.0,aberporth
1995.0,10.0,aberporth
1995.0,11.0,aberporth
1995.0,12.0,aberporth
1996.0,1.0,aberporth
1996.0,2.0,aberporth
1996.0,3.0,aberporth
1996.0,4.0,aberporth
1996.0,5.0,aberporth
1996.0,6.0,aberporth
1996.0,7.0,aberporth
1996.0,8.0,aberporth
1996.0,9.0,aberporth
1996.0,10.0,aberporth
1996.0,11.0,aberporth
1996.0,12.0,aberporth
1997.0,1.0,aberporth
1997.0,2.0,aberporth
1997.0,3.0,aberporth
1997.0,4.0,aberporth
1997.0,5.0,aberporth
1997.0,6.0,aberporth
1997.0,7.0,aberporth
1997.0,8.0,aberporth
1997.0,9.0,aberporth
1997.0,10.0,aberporth
1997.0,11.0,aberporth
1997.0,12.0,aberporth
1998.0,1.0,aberporth
1998.0,2.0,aberporth
1998.0,3.0,aberporth
1998.0,4.0,aberporth
1998.0,5.0,aberporth
1998.0,6.0,aberporth
1998.0,7.0,aberporth
1998.0,8.0,aberporth
1998.0,9.0,aberporth
1998.0,10.0,aberporth
1998.0,11.0,aberporth
1998.0,12.0,aberporth
1999.0,1.0,aberporth
1999.0,2.0,aberporth
1999.0,3.0,aberporth
1999.0,4.0,aberporth
1999.0,5.0,aberporth
1999.0,6.0,aberporth
1999.0,7.0,aberporth
1999.0,8.0,aberporth
1999.0,9.0,aberporth
1999.0,10.0,aberporth
1999.0,11.0,aberporth
1999.0,12.0,aberporth
2000.0,1.0,aberporth
2000.0,2.0,aberporth
2000.0,3.0,aberporth
2000.0,4.0,aberporth
2000.0,5.0,aberporth
2000.0,6.0,aberporth
2000.0,7.0,aberporth
